 诺基亚5230	 2013-04-17 230903	 省电，相对安卓。然后就没了。。。。	 好慢，扫描500多首歌用了10分钟。。。我去，软件安装也慢，反正一个字，慢。但是考虑到400mhz的U达到这样的水平我应该写到优点里去吧，	 诺基亚放弃塞班真不明智，塞班继续改改，还是能够非常好用的，可惜现在诺基亚越来越烂了
 诺基亚5230	 2013-01-03 211706	 以前1000多买回来的；手机很耐摔，我用了2年摔了上400多次没见坏过；容易上手，我表弟看几分钟就基本会耍了；上网速度比较块	 这么好的手机居然连Wifi都没有啊；开4个程序就会自动关掉1个；在晚上拍照完全看不到图像；容易死机	 挺经典的，特别适合学生用，但不推荐入手，打算换个Android系统的机子玩，再见了Symbian..
 诺基亚5230	 2012-12-29 215424	 用了将近两年了 总体感觉还是不错的 诺基亚很经典 系统稳定 	 没有WIFI很遗憾 塞班的软件 很多游戏玩不了 还有视频有些格式不能看 送的三个外壳 那支笔很容易掉 	 总体感觉 还是不错 如果有WIFI 机身更薄 能应用更多软件就好了
 诺基亚5230	 2012-12-24 233232	 质量很好，此机率了很多次拉，用了两年很少拿去修，上网很好。	 手机边上的摄像头容易错手按到，不经拍，摄像头用了一年后给烧了，去修理好后不经一个星期又坏拉，就没修了。	 用了两年了，就是闲他的摄像头，其余的听歌上网都很好，适合学生用。
 诺基亚5230	 2012-12-18 152903	 大大小小也换了好几个手机了，5230是最好的，最耐用的。用了两年啥事没有，电池还和刚买的时候一样，3--4天吧。至于死机现象，好像没死过机吧。也许有过，一两次而已，早忘记了。更别说摔过多少次了。你说要是用个 5年6年的还不坏，可咋办呢！Q_Q	 样子有点过时啦！呵呵。待机时间还是有点不理想。	 强烈顶诺基亚多出几款这样的好机子！！！
 诺基亚5230	 2012-11-19 160422	 1.机子便于携带，现在我换了诺基亚800感觉放在裤袋里已经不太爽，而这台之前5230体积较小，方便携带 2.有关机闹钟功能，这是现在许多智能机包括我的NOKIA 800没有的，这功能非常实用的说。3 使用操作简单 4.应用还是挺多的，各种软件都有 5续航能力较强，哪怕一格电还能待机一晚早上闹铃吵醒我	 1.手机整体性能过低，尤其内存太小，开个QQ开个UC再开个微博QQ就自动退了 2外放一般3 电阻屏触摸手感不好 4游戏基本没啥好玩的游戏 5安装软件卸载软件速度也太慢了 6无WIFI，只能耗流量	 一款很经典的诺基亚机子
 诺基亚5230	 2012-11-08 104216	 5230第一部是男友给我用的  是白色的   分手了就还给他了   后面自己买了一部   是在网上买的    800多  他给我的是在澳门买的    照相比较清晰手感也好     我用了两部       上网也方便听音质也可以  我现在都习惯了用触摸屏的手机了   按键的不习惯了    今天被偷了   心里空空的   好没安全感了      还是想买回5230来用	 不是原厂配的电池不耐用	 我还是很喜欢这部机的    我好爱哦
 诺基亚5230	 2012-11-02 230346	 当时很火的时候，男朋友买来送给我的，白色的，我当时喜欢的不得了了，电池没觉得不耐用，平时喜欢上qq浏览器，泡论坛和微博，能用两天。上个星期在饭店吃饭被小偷顺走了，心疼啊，本来对手机要求就不高，想用到它寿终正寝的，无奈啊，用了两年三个月，应该有发言权了吧。拍照：要在光线比较好的情况下拍还是不错的，要是室内或者晚上了，就跟30w像素的呢用QQ和UC浏览器上网挺快的，手机qq也挺快的，另外，定位很准啊，就是定位的时候很浪费电，高速上导航过，挺好的。测出的速度和汽车上的码表速度误差不大。用了两年多，就死过一次机，重启就好了。	 不能wifi，室内和光线不好时，拍照不行，出现过花屏（但很容易解决了），摄像有时候光有声音，图像不动了。	 预算不多可以买，不过现在应该没有人会买这手机了吧，如果你只是玩QQ，上个网查东西，这个还行，别指望玩什么大游戏
 诺基亚5230	 2012-10-09 232551	 用了两年了。觉得很好用。摔过几次也没事。平时用保护套的，下了保护套就像新的一样。我不用它玩游戏，只用它看电子书，查词典上网看看新闻，QQ、飞信等，我觉得真的很好。当初买机子的时候觉得电池小，现在觉得，与那些一天一充的大屏智能机相比，简直就是优点。我现在基本上是将近三天充一次电。	 不能wifi很遗憾。	 以后买机器，我还会考虑NOKIA
 诺基亚5230	 2012-09-30 130313	 我觉的它最大的优点就是抗摔！！！我都摔了不知道多少次了！！！一点也不影响手机！！！	 就是电池有点不行！！！还有就是发热！！	 不错！！总体来说还可以！！！
 诺基亚5230	 2012-09-29 113019	 新5230是1430毫安电量玩游戏上网一天一冲.3.2大屏幕触控还很灵敏.听歌上网打电话很实用还不错.玩小游戏不卡.一次可以后台3个软件	 没有WIFI太费流量.新5230三颗实体按键略有缝隙不平整.像素过低红色摄像头拍照照片发红.	 对于要求不高的学生还是非常实用.简单易操作.塞班落后了但个人还是喜欢诺基亚.比安卓简单方便实用.天网论坛手机自己破解后可以有贝拉的界面.还是很吸引人的
 诺基亚5230	 2012-09-27 224617	 主要是它便宜啊..一千左右的智能机不是很多吧..也很稳定..外观在当时还是很不错的..Nokia最大的优点就是结实...我打篮球什么的摔过了不下10次..就是边上有点磕坏了...完全不影响使用...防身很实用！！	 像素低了点...........在安卓横行的时代...塞班虽然稳定，但是娱乐性是比不了的.....屏幕没有电容屏灵敏...	 还是不错的选择...性价比挺高的...
 诺基亚5230	 2012-09-09 162524	 3.2大屏 16000W像素色彩。5230只是个初级的入门智能机。我们不要求它有多好多完美，只要能用就行，用着舒服习惯就行，支持生活帮助的A-GPS。3G网络。塞班的后台任务还是不错的，不会像安卓出现伪后台状态。你只要手机有电有信号挂一天都不掉。塞班注重的是手机最基本应该做到的。打电话发短信都很实用。我前些天在论坛破解了手机。下载了挺好玩的小鸟和水果。一点都不卡	 无WIFI。这是最大最大的遗憾。所有网友都对此很是在意，但是没办法谁让诺基亚这样抠门呢。忍忍吧。电池有点点不给力哦@	 作为诺基亚的忠实粉丝，现在就是安心等N9大量跌价。哇哇哇
 诺基亚5230	 2012-08-28 202453	 待机强，塞班系统稳定，实用，电阻屏按着一陷一陷的，挺好玩的	 摄像头是硬伤，显示屏显示效果差强人意。	 2012.4.6，1220元人民币在淘宝入手的，亚太版本。用了两年，退役了，现在做闹钟用，充一次电可以用半个月，强。塞班，毕竟是我曾经很喜欢的系统。现在在等待WP8。期望NOKIA发力。
 诺基亚5230	 2012-08-21 111202	 1、性价比高，当年就是冲着这点买的2、外观还不错3、拍照蛮清晰其他参照别人的吧，我也不会说。	 1、没有wifi2、外放音乐音量不够大，好像这个事诺基亚的通病其实我觉得除了这两个，其他都可以。	 2010年4月底1000多一点买的水货，用到现在也就死机过几次，刷机2次，还好没被我刷成砖头~~用了3年多，现在有个问题出现了，该用终于还是竟然来说这个问题呢，这个毛病就是有时候接打电话，听不到对方的声音，但是对方表示可以听到，要拍几下手机才恢复正常，这个让我小丸子家的电视- -！我家的小舞总是穿着保护套，所以现在拿下保护套看起来还是很新。话说这3年手机也摔过好几次，不过都是穿着保护套的时候，所以没出现什么其他的问题。小舞啊，乃要撑下去啊，度过第4年吧。
 诺基亚5230	 2012-08-20 190231	 性能还将就 只是一般实用就行了  不过我刷了机的就不一样了  音质也可以 一般欣赏就行了  专业找BBK或者 OPPO  这两款主打音乐	 就是发热 比较强吧 游戏稍微多刷下 就有点热了  这个是NOKIA 的通病吧	 还是可以  性价比将就
 诺基亚5230	 2012-08-11 195050	 很多，不说了，照相还是很好的，虽然200万，但是我不觉得比其他手机500万的差	 有肯定有的，一分价钱一分货	 很值，推荐不玩手机的人购买，毕竟他的可玩性不高
 诺基亚5230	 2012-08-08 112706	 这款手机结实，抗摔。用了有一年了，感觉还是挺不错的。软件用的也非常多。性价比也挺高的	 塑料感强，运行速度有些满。最近总是出现自动重启的情况	 诺基亚手机质量挺不错的，这是我购买诺基亚的原因所在。我总是挨摔手机。呵呵
 诺基亚5230	 2012-08-03 102241	 唯一有点抗摔。皮厚	 上网速度慢。卡机，死机，系统不行，	 诺基亚手机辉煌时代已过
 诺基亚5230	 2012-07-30 215932	 手机外观非常好看，用起来还是非常舒服的。支持的软件还是蛮多的。就是很多软件都收费让我很郁闷啊！	 系统反映感觉有些迟钝，用了一个月就出现重启现象，刚开始就重启一次。现在重启的次数越来越多。明天送去客服检测一下。	 诺基亚手机虽然结实，但是塞班系统确实落后了。不够质量还是一样的好
 诺基亚5230	 2012-07-21 153507	 乍一看外观也挺好看，还可以下载主题，适合喜欢玩游戏和要求不高的女生	 之前用的5230，现在换了oppo u525，屏幕虽然和oppo u525一样大，但是没有525清晰，像素和oppo u525一样，但是清晰度比525差远了，登陆qq的速度也没525快，5230的触屏效果也不是太好，有时点了半天也没反应，而且5230的音质也没525好，又是用起来特别麻烦，用的时间久了，觉得5230越来越不行了，所以只好换了oppo u525	 总之，5230就是适合喜欢玩游戏的男生和用，现在有好多人都说5230好用，可是当我亲自体验完之后觉得真的不怎么样，我可以说一分钱一分货，5230能卖到这种价格却是对得起它的性能
 诺基亚5230	 2012-07-21 094359	 总的来说真的比较不错，除了塞班的游戏不怎么地，其他操作程序都深得我心，摄像比较不错，画质挺流畅，比较抗用，能下的应用软件挺多的，有的也挺好用，支持！	 还是电池，如果换个商务电池我认为会比较好用，再就是晚上如果拍照摄影会比较不清楚，功能表是竖滑的，游戏不好，玩起来电池会很热，总之都是小毛病，希望诺基亚好好改进，支持+期待~	 挺好的，用的挺顺手~
 诺基亚5230	 2012-07-13 153722	 外型和砖头没俩样，打架的时候拿出来一下绝对拍死几个，绝对是用来防身的不二选择	 又厚又重，不是电容屏按屏幕要用力，电池一天冲一次，充电和玩的时候都发热，洞洞太多进灰尘，屏幕边边按不了，太卡，拍早不清，一边听歌一边上qq会卡死，无端端死机，电池和手机连接处容易接触不良导致关机，屏幕容易花，系统垃圾得没话说。	 就是一垃圾中的战斗机，同样价钱的其他手机比它好N倍，哥买了一年后悔死了，现在屏幕下面红色的按钮又短路了按半天没反应还一闪一闪的，总之一句话说完：诺基亚5230外型失败，配置失败，系统更是失败中的失败。。。以上我说的有任何一句假话我五雷轰顶不得好死
 诺基亚5230	 2012-07-11 152650	 分辨率还行,比安卓的一些高。像素比较低，摄像功能算好，	 没有wlan,没有闪光灯。待机时垃圾中的战斗机,开的机放上一晚上没点了、音乐显示不了歌词。一些软件和游戏的分辨率太阿sa了，反应迟钝，像板砖。	 买啥都不能买塞班的手机。要买就买安卓的,功能多,游戏好、
 诺基亚5230	 2012-07-06 001101	 反正这货我用着还算凑合，别人都说塞班系统太垃圾，我倒是没什么太大的感觉，反正这货优点不算是特别突出，不过和现在的安卓、ios相比，塞班还是比较省流量的	 虽说省流量，但是与安卓相比，塞班系统的缺陷还是很大的，本人以前用过OMS（中国移动基于android深度定制的一个系统），现在用5230，体验到了什么叫曾经沧海难为水。什么反应慢，手机卡那都是塞班系统的通病，也不必去太苛求。这货的缺点也不是特别突出	 其实给5230这样的评价真的有点委屈它了，毕竟人家在3、4年前还是手机王者呢，反正对于此我只想说，固步自封，不勇于创新只能带来失败，这是曾经辉煌的塞班现在没落到如此地步所带给我的最大的警示。对于5230我不想过多的去评头品足些什么，喜欢它有喜欢它的道理，不喜欢它自然也有不喜欢它的道理。仅此而已吧
 诺基亚5230	 2012-06-26 131959	 便宜，性价比高，gps很好用，待机时间够长。去杭州玩的时候就是靠它了，配合百度地图，简直是好用到爆！而同学的联想1500多的智能机，gps好看不顶用。我们两个路痴丝毫没有迷路，而且，从早到晚一整天开着gps，手机到晚上还是有挺多电的。	 没有wifi，电阻屏不灵敏，大个，像砖头，不能查看通话时长。买回来许久才发现没有wifi，不能联宿舍的无线网，浪费了不少流量。这个是买手机前的调研不足。我以前用的是诺基亚5000，感觉在一些东西上，5230做的不如5000好，比如发短信时的首选收件人，最近常用联系人，通话记录等等，没有倒计时。日历的备忘录做的也不如5000好。另外，就是反应有些慢，我安的东西比较少，速度还能够接受，同学多安了几个软件，慢得让我无法接受。	 今年3月入手，自己不了解手机行情，周围的同学很多用这款，于是就跟风买了这个。后来发现，htc 三星 摩托罗拉等等大屏的智能手机满街都是，自己的手机，相当弱，不能玩小鸟、不能切水果。但是还是挺满意的，这是我第一个智能手机，虽然是?丝机，也还不错。
 诺基亚5230	 2012-06-21 201057	 本人是10年十月份左右买的，一直用到现在，前两天掉海里去了，如果没出现意外，我会用下去，不会换别的机子的。用了将近两年，个人觉得蛮好的，白色比黑色的大气，漂亮，非常适合女生用。拍照出来的效果也不错，手机信号也很好！多种颜色外壳可换，用了两年，机子本身可以说基本上没出现过问题，唯一的问题，也是最近这两个月，机子会无缘无故的发烫，可能是因为屏幕没关掉就放在包里的原因，关机重启就没事了，玩游戏也蛮畅快的。我一般正常两天左右充一次电，一天上网，看小说肯定不定于三四个小时，再加上接打电话，收发短信，有事还会听会歌！这手机对于我这样的一个女生很够用了！这两天看了很多手机，都没很满意的，如果再没喜欢的，我就打算再买款5230的，因为本人喜欢看小说，屏幕太大之类的，耗电，又伤眼镜，而且价格超值	 后壳用了一段时间后，会把色彩磨掉，但可以换后壳！对于现在的机子来说，唯一的缺点就是不支持WIFI	 女生普通上上网，听听歌，看看小说，出去游玩拍个小照片，肯定是够了！价钱又实惠，性能用稳定，后壳可以无限换，一天一个心情，多好啊！手机首选之一
 诺基亚5230	 2012-06-13 185806	 智能机，看起来比较大气，价钱挺低，性价比可以。	 解锁键容易因为用多了而坏掉，触屏手机一旦屏幕坏了那就直接换个新的吧！	 这种机子目前来说已经很泛滥了，现在街上各种触屏，如果想买的话凑合着用一两年可以，时间再久就过时了，现在其实已经要被淘汰了。
 诺基亚5230	 2012-06-06 134824	 1.软件全面，对于日常用完全足够2.上网速度可以3.众所周知,信号好4.快捷应用,省事不少	 1.各种软件开久了会有点卡机,	 总的来说这个价位能买到这种性能的机子还是很值得得,只是我用过的机型中最值得一赞的机子,塞班的系统虽然老了点,但还是很好用的,易上手,用了一年多丢了,在使用期间,大毛病没有,小毛病就是运行多项软件的时候会有卡机现象,不过也只是极少的时候会这样,如果想买1000左右的机子,又想整体都不错的话,5230真的是你必选的!
 诺基亚5230	 2012-06-03 162957	 相对现在智能手机，我只能说经摔！别的，一般手机都具备，并且可能做的会更好！	 1：没有wifi,2反应太慢，真不知道诺基亚怎么想的，现在市场被安卓占了吧!3：太厚了，这点实在想不通，是不是厚了就经摔了啊！	 不玩手机的用着还是很不错的。
 诺基亚5230	 2012-05-30 231907	 经摔，这是必须的。用了两年多，反正摔过无数次，都没事。运行还是挺快的。开机速度不慢啊。我的开机速度半分钟就搞定了。还可以更快。	 用太久了，觉得厚了。而且软件什么的现在都是安卓在出了。这款貌似不玩手机的人可以用吧。网速有时候很慢，也没有很快过。没WIFI这个功能真的很不好。视频什么的看不了。太卡了。。软件装多了也卡。得换了啊。	 我觉得这个可以适合我爸那一段人用了。除了斗斗地主，打打电话，发发信息，听听歌。要玩游戏，上网页什么的还是不太现实。。
 诺基亚5230	 2012-05-28 170214	 1 去年7月份入手的，价格900，香港行货带发票。绝不是翻新机。 2 小5屏幕大，3.2的屏幕看上去很不错，比4.3的3.7的省电多了 3 分辨率满足基本需求，画面细致 4 音质还可以吧，戴耳机声音蛮大的，外放也可以，安静的地方听得清楚，太吵闹的地方开最大听不清。闲音量小的同学去买山寨机吧，那声音刚刚的。 5 一些日常使用的QQ，UC，360等等软件都可以使用，满足日常需求。 6 质量好，诺基亚的质量那不是一般的好，摔了几次，还完好无损，只是掉了点漆。手机没有白屏现象。	 塞班证书停止制作了，哥忍了快半年了，一直用直签签名，可是还是很多软件不能安装，哥前天刷机成功，终于解脱了证书的压力。摄像头就能拍拍风景人物什么的，要是想拍书上的字迹，那你还是用数码相机吧，毕竟价位在那。	 总体来说：小5的性能还是完全不错的，手机是来干什么的，还不是用来上网，看书，聊QQ的么，小5 完全能满足。总有人闲电池不耐用，那是所有智能机的通病，900块钱了，你还抱怨啥。要想玩很多游戏，那你们想HTC，摩托，苹果，三星，哪个电池耐用，手机不是让你来玩游戏的。小五质量很好，没得说。不管怎么样，哥依然支持塞班，支持诺基亚。不光质量，实用性也非常大。
 诺基亚5230	 2012-05-27 150014	 继承了诺基亚的优良传统，怎么折腾都没事。。。在安卓未普及的年代，S60v5是个在中低端层面中很强大的系统。。。当初09年12月1800入手。。。GPS可以跟现在的iphone拼一下。。。	 无wifi，无闪光灯，其他配置在那个年代也就那样，主打低端也就不奢求什么了，只不过后来貌似10年整整一年都成街机了。。。	 11年换M9，上个月换4S，以前的5230给我的印象很深啊，其实就这么打打电话发发短信，又结实还是很好用的，不像现在的4S，揣在手里都怕跌。。。真可惜早已卖掉了。。。
 诺基亚5230	 2012-05-24 093236	 3.4英寸看视频老带劲了！电视级立体声，音量调最低就有影院的震撼感（与音乐手机的纤细音质不同）；光线充足时视频拍摄的质量非常高；同样，3.4英寸屏幕色彩非常鲜艳，网页字体大而清晰，上网非常舒服惬意。软件扩展除了QQ暂无版本，其他常用软件均有5230适用型号。期待QQ中...	 在手写模式下，不用笔而用手指写字时偶尔有死机现象，所以建议用虚拟键盘或手写笔，少用手指。用UC浏览器网速慢时，有时会断网假死，这个不重要，软件更新会改善。别说200W像素和音质是缺点，在这个价位上，只有一个“值”字可言，而且“缩水”的功能像WIFI和前置摄像头根本没几个人用得上，至少我以前的N78一次都没用过。	 3.4英寸屏幕+智能，仅这两点，这价格不是值回来了，而是超值！基于客观评价，我给4分，买它一点没后悔。说一千道一万，别拿5230和诺基亚高端手机对比，要先看价格再评价才是真正客观可靠的评价！
 诺基亚5230	 2012-05-24 093236	 1.操作系统相当的强大，尤其是CPU 的频率，还有和5800比它的内袋机身内存大了很多2.屏幕3.2，够强大，而且还不是很费电。看小说电影相当的舒服3.与机器相兼容的软件很多，还有指纹识别功能，虽然还有许多按进去乱码的现象，值得期待解决4.颜色方面白色主色调，有蓝色.黑色的配调，无论男女都是不错的选择5.最后一点价格：1200左右的智能机值得购买，虽然男人用有点小，但是价格摆在这	 1.像素200W偏低，但还是能够接受2.声音偏小3.指纹收集器4.数据线超短5.后盖超不爽	 值得，值得很值得
 诺基亚5230	 2012-05-24 093236	 屏幕够大，色彩细腻鲜艳，操作方便，速度尚可，功能强大。至于电池问题，我用的诺基亚手机电池一般都只能两天，对于大屏幕全触摸来说两天应该算不错了	 1.外观山寨，完全照搬5800。 2.观看分辨率在640*480以上的电影（一般RV格式的电影都在这个分辨率以上）就只有听声音了，画面处理不过来，CPU有待加强。 3.外放垃圾，声音不够大，有时电话来了都听不到，耳机比地摊货都不如 4.无WIFI，去掉这个功能确实是遗憾，水货也没，不然买水货了 5.无闪光灯 6.闹钟要靠滑动才能解除，很不方便，应该设计按键解除	 没出现他们说的经常死机，花屏类的现象，总体感觉还是不错，要价格降在1K以内就好了，不急着用的朋友可以等等，这款机降价很快
 诺基亚5230	 2012-05-24 093236	 1 外观时尚 拿出来很拉风 尤其是超大的显示屏很有分量 <br/>2 屏幕细腻 色彩非常的亮丽 扩展功能也很不错 除了游戏不多外 其他的软件还是够用的 但是也有几个好玩的游戏哦 感觉可跟玩键盘手机不一样 <br/>3 不得不提的性价比 低价位 高享受 原本想买N78的 还涨价 要到1900 吾爱只要1500多就搞定 南昌年前的国美和苏宁这款都卖断货了 这款机子成为街机的势头势不可挡~~~~<br/>4 用后很多功能会慢慢发现 会越来越喜欢的 正像广告词一样 5230 我爱上你~	 1 好在自带的输入法关掉字体预览后反应还不错 不然装搜狗之类的输入法会汗死~ 按键超小 很容易按错 还是用自带的好了~ 输入速度当然没有键盘的快 但习惯就好 按得很轻松<br/>2 电池有点不经用 一般玩下来就一天 建议买块好点的电池 我用了羽博的5800专用电池 效果很好 那种可以配座充的 非常稳定 两块电池轮用就没多大问题啦<br/>3 该死的QQ 只出了可怜的QQ2008 都没有更好的版本 而且 不能用游戏大厅的说 希望腾讯能尽快出5代的软件~<br/>3 外型看起来挺脆弱的 尤其是塑料材质机身和脆弱的触摸屏 恐怕摔过之后后果很严重~~ 所以大家要爱惜哦 建议配个亲水套 15块一个 专用的 可以完全保护爱机	 今天到手快两个星期了 也发现自己越来越喜欢我的吾爱咯 总体效果还是很不错的 要知道他的系统和5800 N97甚至X6都是一个平台的哦 可价钱真是相差太大了 因为第一次用触屏手机 用前还是有很多不安的 看了很多点评 用后觉得还是真不错 希望我的点评能给想入手小五的机油们一点帮助哦
 诺基亚5230	 2012-05-24 093236	 屏幕大，效果好，反应速度满意，价格适中。	 1、做工一般，很多地方缝隙偏大。<br/>2、光线不好的地方拍照效果不是很好。<br/>3、摄像键位置奇葩，且做工太差，太过突出。几次睡觉被吵醒的时候拿他当手写笔拔，再有两三次就该被我抠下来了。<br/>4、适用软件不够多，常用的QQ，飞信都没有对应版本。<br/>5、配件平庸。<br/>6、数据线比JJ还短。<br/>7、塑料感明显。<br/>8、装了软件之后有时会变卡，兼容性估计还是不好。<br/>9、预装软件、游戏太二。<br/>10、外放音效太差，这个地球人都知道。<br/>11、铃声超小，经常错过电话。<br/>12、稍显有点厚。<br/>13、短信操作稍显麻烦<br/>14、缺点写得太多了，收笔。	 很满意。<br/>但是为什么缺点要写这么多呢？
 诺基亚5230	 2012-05-24 093236	 1.屏幕的分辨率够大,看起来很舒服,看惯了再看别的机,觉得都是很多小方格的^―^(就这个价位的机器我还没见过一个屏幕的分辨率这么高的,没记错的话是320x680的)<br/>    2.功能很多(也同样是缺点),	 1.主屏幕的快捷键太少,许多非智能的手机都是多页滑动换桌面的了,这样可以把快捷键分类放在不同的桌面上;(似乎有一些程序可以做到,但会遇到以下问题)<br/>   2.反应不够快,可能是全触屏的原因(和E63比起来慢不少,但E63的处理器比5230的还要慢一点的)<br/>   3.功能很多,但你要找到这些功能少则点4,5下(这样就回到缺点1),	 功能多而全,但就是觉得用起来不是那么快捷,可能习惯了用一些有键盘的机,有很多一键直达的功能,这个用起来总觉得在那里把东西翻来翻去的感觉！
 诺基亚5230	 2012-05-24 093236	 外观时尚，3.2的QVGA触摸屏很炫、价格合适；而且是S60 V5的系统，功能很多	 电池续航能力真的很一般，如果上网、玩游戏往往一天都用不了，只打电话发短信也就2、3天吧<br/>很多功能用起来很麻烦，由于是触摸屏没有快捷键，刚用时很多功能都找不到。<br/>很多软件都不支持5230，不仅仅是证书的问题，而且不能兼容<br/>还有救是照相摄像功能的确不敢恭维，和5系的其他机型没法比！	 总的来说这样的配置对得起这个价格，适合学生和追求时尚的年轻人使用，尤其是女性
 诺基亚5230	 2012-05-24 093236	 触屏大亮，色彩鲜艳不说，控制真的很好用。<br/>外型美观大方，智能机可玩性高，速度快<br/>手写输入很赞	 相机200w凑合用，就是没有自动对焦最傻x，近了就拍不清楚。<br/>自带的输入法竖屏时较慢，不如安装输入法好用	 冲着5800去得，结果得知全是翻新机了，而且触控也没5230好，就买了5230，白色很高贵，总体感觉好不错哦，可玩性还是比较高的，不错~！
